Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6996,Farm-gate emissions,2018,2018,mil toneladas,230.452,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6996,Farm-gate emissions,2019,2019,mil toneladas,237.9714,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6996,Farm-gate emissions,2018,2018,mil toneladas,56.586,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6996,Farm-gate emissions,2019,2019,mil toneladas,55.3076,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6996,Farm-gate emissions,2018,2018,mil toneladas,3.2502,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6996,Farm-gate emissions,2019,2019,mil toneladas,3.252,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,1142.5814,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,1142.5814,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.0747,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.0747,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.0068,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.0068,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6517,Pre y post-producción,2018,2018,mil toneladas,1222.1017,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6517,Pre y post-producción,2019,2019,mil toneladas,1236.7592,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6517,Pre y post-producción,2018,2018,mil toneladas,64.1526,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6517,Pre y post-producción,2019,2019,mil toneladas,64.2052,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6517,Pre y post-producción,2018,2018,mil toneladas,0.2021,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6517,Pre y post-producción,2019,2019,mil toneladas,0.2024,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,22.9485,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,23.1484,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.1156,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.1166,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.0006,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.0006,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6507,Transformación de alimentos,2018,2018,mil toneladas,190.6459,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6507,Transformación de alimentos,2019,2019,mil toneladas,189.729,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6507,Transformación de alimentos,2018,2018,mil toneladas,0.4882,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6507,Transformación de alimentos,2019,2019,mil toneladas,0.4534,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6507,Transformación de alimentos,2018,2018,mil toneladas,0.0022,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6507,Transformación de alimentos,2019,2019,mil toneladas,0.0018,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6815,Transformación de alimentos,2018,2018,mil toneladas,396,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6815,Transformación de alimentos,2019,2019,mil toneladas,396.9781,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0477,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0398,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0128,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0117,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6508,Venta de alimentos,2018,2018,mil toneladas,82.7808,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6508,Venta de alimentos,2019,2019,mil toneladas,86.9788,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6508,Venta de alimentos,2018,2018,mil toneladas,0.3902,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6508,Venta de alimentos,2019,2019,mil toneladas,0.3115,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6508,Venta de alimentos,2018,2018,mil toneladas,0.002,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6508,Venta de alimentos,2019,2019,mil toneladas,0.0017,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,61.9809,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,62.0974,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.1784,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.1802,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,521.1057,E,Valor estimado
EM,Distribución de emisiones,222,El Salvador,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,527.9081,E,Valor estimado
